,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> restart_period,ice/cice_in.nml -> setup_nml -> istep0
,366,2019-01-01T00:00:00,2020-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output366,93.995,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart366,4.853,Ryan Holmes,2024-03-28T18:19:22,112008473,1,[112006820],normal,7128.8,1.9541666666666666,7133.682739726028,1.9555051369863012,,,,1536.0,1824,1455,361,0.092,655.329912,4557.59,695.14,"[48, 40]",roundrobin,30,27,1350,80,1,9a62c2bdf81ca874567298e7bbe5cb8061548b8c,2024-03-28 16:22:24 +1100,,,1350,"[1, 0, 0]",816912
,367,2020-01-01T00:00:00,2021-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output367,93.967,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart367,4.855,Ryan Holmes,2024-03-28T21:22:51,112023300,0,[],normal,7235.2,1.9833333333333334,7220.373770491803,1.9792691256830601,1.0747222222222224,56782.748660187106,7.864239506858585,1505.2800000002608,1824,1455,361,0.097,701.939903,4583.87,743.06,"[48, 40]",roundrobin,30,27,1350,80,1,c3a1640028b859e2512188494471779fbef829ec,2024-03-28 19:23:55 +1100,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml","['Setup for 2020-2023.', '2024-03-28 19:23:55: Run 367']",1350,"[1, 0, 0]",819144
,368,2021-01-01T00:00:00,2022-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output368,94.079,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart368,4.857,Ryan Holmes,2024-03-28T23:51:48,112035024,0,[],normal,7169.33,1.9652777777777777,7174.2405,1.9666238584474884,0.5172222222222222,69310.74320241692,9.661056553988804,1495.0400000000373,1824,1455,361,0.098,700.395881,4604.25,740.69,"[48, 40]",roundrobin,30,27,1350,80,1,886fd9fa3dc9a48c50d862645080df8ed32a5ffe,2024-03-28 21:54:01 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv","['update run summary', '2024-03-28 21:54:01: Run 368']",1350,"[1, 0, 0]",821376
,369,2022-01-01T00:00:00,2023-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output369,94.025,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart369,0.596,Ryan Holmes,2024-03-29T01:51:47,112046898,0,[],normal,7190.61,1.971111111111111,7195.5350753424655,1.9724611872146118,0.028611111111111143,86299.30601472426,11.993452204889284,1474.5599999995902,1824,1455,361,0.099,714.934882,4622.47,756.38,"[48, 40]",roundrobin,30,27,1350,80,1,b661d45008292732aebf4e6153c82029305b9ff5,2024-03-29 00:08:22 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv","['2024-03-28 23:53:38: Run 369', 'update run summary']",1350,"[1, 0, 0]",823608
,370,2023-01-01T00:00:00,2023-05-01T00:00:00,"[0, 4, 0, 0]",120.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output370,144.936,/scratch/v45/rmh561/access-om2/archive/025deg_jra55_iaf/restart370,4.845,Ryan Holmes,2024-04-12T18:36:45,113644312,3,"[113603402, 113612617, 113625694]",normal,3829.39,1.0497222222222222,11655.7058125,3.195092013888889,351.69972222222225,260.54005597299937,0.02235300548625608,1085.4400000004098,1824,1455,361,0.059,225.080522,2636.7,239.85,"[48, 40]",roundrobin,30,27,900,80,1,60c1a2f729cc7ae38e8237e52aa7426e13e43b7b,2024-04-12 17:31:59 +1000,"accessom2.nml, config.yaml, manifests/input.yaml, manifests/restart.yaml, metadata.yaml, ocean/diag_table, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv, sync_data.sh","['update run summary', 'update run summary', '2024-04-12 09:37:37: Run 370', '2024-04-12 11:12:49: Run 370', '2024-04-12 13:32:45: Run 370', 'update run summary', 'Setup to run 2023 with daily heat budget diagnostics and a few extras.', 'Setup to run as 4 monthly blocks for ease of reducing diagnostics.']",900,"[0, 4, 0]",825840
,371,2023-05-01T00:00:00,2023-09-01T00:00:00,"[0, 4, 0, 0]",123.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output371,147.75,/scratch/v45/rmh561/access-om2/archive/025deg_jra55_iaf/restart371,4.846,Ryan Holmes,2024-04-12T19:42:35,113648174,0,[],normal,3970.24,1.0883333333333334,11789.676097560976,3.231819105691057,0.008888888888888946,86842.71797468353,7.3659969329139905,1095.679999999702,1824,1455,361,0.06,236.133706,2747.08,251.97,"[48, 40]",roundrobin,30,27,900,80,1,536b8b13ddc88e7bd3f134a91a72ec4353f4bcb8,2024-04-12 19:22:12 +1000,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv","['2024-04-12 18:37:35: Run 371', 'update run summary']",900,"[0, 4, 0]",828072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> restart_period,ice/cice_in.nml -> setup_nml -> istep0
Total,2211,,,,1704.0,,,668.7520000000001,,24.852,,,675406181,4,,,36523.57,10.011944444444444,52169.21399562128,14.300770427911408,353.32916666666665,299496.05590798485,36.907098204136915,8192.0,10944,8730,2166,0.505,3233.8148060000003,23751.96,3427.0899999999997,,,180,162,7200,480,6,,,,,7200,,4934952
Mean,368.5,,,0.5,284.0,,,111.45866666666667,,4.142,,,112567696.83333333,0.6666666666666666,[18667803.33333333 18933900.33333333 18935436.16666667 18937615.66666667],,6087.261666666666,1.6686574074074072,8694.868999270213,2.3834617379852348,70.66583333333332,59899.21118159697,7.381419640827383,1365.3333333333333,1824.0,1455.0,361.0,0.08416666666666667,538.9691343333334,3958.66,571.1816666666666,44.0,,30.0,27.0,1200.0,80.0,1.0,,,,,1200.0,0.6666666666666666,822492.0
