,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> restart_period,ice/cice_in.nml -> setup_nml -> istep0
,366,2019-01-01T00:00:00,2020-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output366,93.995,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart366,4.853,Ryan Holmes,2024-03-28T18:19:22,112008473,1,[112006820],normal,7128.8,1.9541666666666666,7133.682739726028,1.9555051369863012,,,,1536.0,1824,1455,361,0.092,655.329912,4557.59,695.14,"[48, 40]",roundrobin,30,27,1350,80,1,9a62c2bdf81ca874567298e7bbe5cb8061548b8c,2024-03-28 16:22:24 +1100,,,1350,"[1, 0, 0]",816912
,367,2020-01-01T00:00:00,2021-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output367,93.967,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart367,4.855,Ryan Holmes,2024-03-28T21:22:51,112023300,0,[],normal,7235.2,1.9833333333333334,7220.373770491803,1.9792691256830601,1.0747222222222224,56782.748660187106,7.864239506858585,1505.2800000002608,1824,1455,361,0.097,701.939903,4583.87,743.06,"[48, 40]",roundrobin,30,27,1350,80,1,c3a1640028b859e2512188494471779fbef829ec,2024-03-28 19:23:55 +1100,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml","['Setup for 2020-2023.', '2024-03-28 19:23:55: Run 367']",1350,"[1, 0, 0]",819144
,368,2021-01-01T00:00:00,2022-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output368,94.079,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart368,4.857,Ryan Holmes,2024-03-28T23:51:48,112035024,0,[],normal,7169.33,1.9652777777777777,7174.2405,1.9666238584474884,0.5172222222222222,69310.74320241692,9.661056553988804,1495.0400000000373,1824,1455,361,0.098,700.395881,4604.25,740.69,"[48, 40]",roundrobin,30,27,1350,80,1,886fd9fa3dc9a48c50d862645080df8ed32a5ffe,2024-03-28 21:54:01 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv","['update run summary', '2024-03-28 21:54:01: Run 368']",1350,"[1, 0, 0]",821376
,369,2022-01-01T00:00:00,2023-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output369,94.025,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/restart369,0.596,Ryan Holmes,2024-03-29T01:51:47,112046898,0,[],normal,7190.61,1.971111111111111,7195.5350753424655,1.9724611872146118,0.028611111111111143,86299.30601472426,11.993452204889284,1474.5599999995902,1824,1455,361,0.099,714.934882,4622.47,756.38,"[48, 40]",roundrobin,30,27,1350,80,1,b661d45008292732aebf4e6153c82029305b9ff5,2024-03-29 00:08:22 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv","['2024-03-28 23:53:38: Run 369', 'update run summary']",1350,"[1, 0, 0]",823608
,370,2023-01-01T00:00:00,2023-05-01T00:00:00,"[0, 4, 0, 0]",120.0,/home/561/rmh561/access-om2/025deg_jra55_iaf,/g/data/ik11/outputs/access-om2-025/025deg_jra55_iaf_omip2_cycle6_jra55v150_extension/output370,144.936,/scratch/v45/rmh561/access-om2/archive/025deg_jra55_iaf/restart370,4.856,Ryan Holmes,2024-04-12T18:36:45,113644312,3,"[113603402, 113612617, 113625694]",normal,3829.39,1.0497222222222222,11655.7058125,3.195092013888889,351.69972222222225,260.54005597299937,0.02235300548625608,1085.4400000004098,1824,1455,361,0.059,225.080522,2636.7,239.85,"[48, 40]",roundrobin,30,27,900,80,1,60c1a2f729cc7ae38e8237e52aa7426e13e43b7b,2024-04-12 17:31:59 +1000,"accessom2.nml, config.yaml, manifests/input.yaml, manifests/restart.yaml, metadata.yaml, ocean/diag_table, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf.csv, sync_data.sh","['update run summary', 'update run summary', '2024-04-12 09:37:37: Run 370', '2024-04-12 11:12:49: Run 370', '2024-04-12 13:32:45: Run 370', 'update run summary', 'Setup to run 2023 with daily heat budget diagnostics and a few extras.', 'Setup to run as 4 monthly blocks for ease of reducing diagnostics.']",900,"[0, 4, 0]",825840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> restart_period,ice/cice_in.nml -> setup_nml -> istep0
Total,1840,,,,1581.0,,,521.0020000000001,,20.017000000000003,,,561758007,4,,,32553.33,8.92361111111111,40379.5378980603,11.06895132222035,353.3202777777778,212653.33793330129,29.541101271222928,7096.320000000298,9120,7275,1805,0.445,2997.6811000000002,21004.88,3175.12,,,150,135,6300,400,5,,,,,6300,,4106880
Mean,368.0,,,0.4,316.2,,,104.20040000000002,,4.003400000000001,,,112351601.4,0.8,[22401364.  22720680.4 22722523.4 22725138.8],,6510.666,1.784722222222222,8075.90757961206,2.21379026444407,88.33006944444445,53163.33448332532,7.385275317805732,1419.2640000000597,1824.0,1455.0,361.0,0.089,599.5362200000001,4200.976000000001,635.024,44.0,,30.0,27.0,1260.0,80.0,1.0,,,,,1260.0,0.5333333333333333,821376.0
Median,368.0,,,0.0,365.0,,,94.025,,4.855,,,112035024.0,0.0,[],,7169.33,1.9652777777777777,7195.5350753424655,1.9724611872146118,0.7959722222222223,63046.745931302015,8.762648030423694,1495.0400000000373,1824.0,1455.0,361.0,0.097,700.395881,4583.87,740.69,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,,1350.0,0.0,821376.0
